time_gbp,time_eur,time_eurgbp,one,tow
2024-06-20 09:06:35.352000,2024-06-20 09:06:35.352000,2024-06-20 09:06:35.352000,-8.000000000008,-1.999999999990898
2024-06-20 09:06:35.450000,2024-06-20 09:06:35.450000,2024-06-20 09:06:35.450000,-7.0000000000014495,-2.999999999997449
2024-06-20 09:06:35.751000,2024-06-20 09:06:35.751000,2024-06-20 09:06:35.751000,-7.0000000000014495,-1.0000000000065512
2024-06-20 09:06:36.449000,2024-06-20 09:06:36.449000,2024-06-20 09:06:36.449000,-7.0000000000014495,-2.999999999997449
2024-06-20 09:06:37.258000,2024-06-20 09:06:37.258000,2024-06-20 09:06:37.258000,-7.0000000000014495,-2.000000000002
2024-06-20 09:06:37.286000,2024-06-20 09:06:37.286000,2024-06-20 09:06:37.286000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:39.453000,2024-06-20 09:06:39.453000,2024-06-20 09:06:39.453000,-7.849999999988144,-2.1500000000107544
2024-06-20 09:06:39.755000,2024-06-20 09:06:39.755000,2024-06-20 09:06:39.755000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:40.256000,2024-06-20 09:06:40.256000,2024-06-20 09:06:40.256000,-7.849999999988144,-2.1500000000107544
2024-06-20 09:06:40.955000,2024-06-20 09:06:40.955000,2024-06-20 09:06:40.955000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:42.560000,2024-06-20 09:06:42.560000,2024-06-20 09:06:42.560000,-7.849999999988144,-2.1500000000107544
2024-06-20 09:06:42.565000,2024-06-20 09:06:42.565000,2024-06-20 09:06:42.565000,-8.699999999993713,-1.300000000005186
2024-06-20 09:06:42.957000,2024-06-20 09:06:42.957000,2024-06-20 09:06:42.957000,-9.54999999999928,-0.4499999999996174
2024-06-20 09:06:42.958000,2024-06-20 09:06:42.958000,2024-06-20 09:06:42.958000,-8.54999999999273,-0.4499999999996174
2024-06-20 09:06:43.156000,2024-06-20 09:06:43.156000,2024-06-20 09:06:43.156000,-8.54999999999273,-1.4500000000061686
2024-06-20 09:06:43.658000,2024-06-20 09:06:43.658000,2024-06-20 09:06:43.658000,-8.54999999999273,-0.4499999999996174
2024-06-20 09:06:43.659000,2024-06-20 09:06:43.659000,2024-06-20 09:06:43.659000,-7.699999999987162,-1.300000000005186
2024-06-20 09:06:43.961000,2024-06-20 09:06:43.961000,2024-06-20 09:06:43.961000,-7.699999999987162,-2.300000000011737
2024-06-20 09:06:44.059000,2024-06-20 09:06:44.059000,2024-06-20 09:06:44.059000,-7.699999999987162,-0.3000000000097369
2024-06-20 09:06:45.163000,2024-06-20 09:06:45.163000,2024-06-20 09:06:45.163000,-7.699999999987162,-1.300000000005186
2024-06-20 09:06:46.259000,2024-06-20 09:06:46.259000,2024-06-20 09:06:46.259000,-7.699999999987162,-0.3000000000097369
2024-06-20 09:06:48.562000,2024-06-20 09:06:48.562000,2024-06-20 09:06:48.562000,-7.699999999987162,-1.300000000005186
2024-06-20 09:06:48.761000,2024-06-20 09:06:48.761000,2024-06-20 09:06:48.761000,-7.699999999987162,-2.300000000011737
2024-06-20 09:06:49.366000,2024-06-20 09:06:49.366000,2024-06-20 09:06:49.366000,-8.699999999993713,-1.300000000005186
2024-06-20 09:06:57.364000,2024-06-20 09:06:57.364000,2024-06-20 09:06:57.364000,-7.849999999988144,-2.1500000000107544
2024-06-20 09:06:57.667000,2024-06-20 09:06:57.667000,2024-06-20 09:06:57.667000,-8.699999999993713,-1.300000000005186
2024-06-20 09:06:57.764000,2024-06-20 09:06:57.764000,2024-06-20 09:06:57.764000,-8.699999999993713,-0.3000000000097369
2024-06-20 09:06:58.364000,2024-06-20 09:06:58.364000,2024-06-20 09:06:58.364000,-8.699999999993713,-1.300000000005186
2024-06-20 09:06:59.065000,2024-06-20 09:06:59.065000,2024-06-20 09:06:59.065000,-8.699999999993713,-0.3000000000097369
2024-06-20 09:06:59.365000,2024-06-20 09:06:59.365000,2024-06-20 09:06:59.365000,-8.699999999993713,-1.300000000005186
