time,one,tow
2024-06-24 21:08:10.667899,-0.2600000000000002,0.0700000000000002
2024-06-24 21:08:10.902277,-0.2600000000000002,0.0700000000000002
2024-06-24 21:08:11.127958,-0.2600000000000002,0.06
2024-06-24 21:08:11.386676,-0.2700000000000002,0.07
2024-06-24 21:08:11.605415,-0.2700000000000002,0.07
2024-06-24 21:08:11.808530,-0.2700000000000002,0.07
2024-06-24 21:08:11.996034,-0.2700000000000002,0.07
2024-06-24 21:08:12.214787,-0.2700000000000002,0.07
2024-06-24 21:08:12.417897,-0.2700000000000002,0.07
2024-06-24 21:08:12.620993,-0.2700000000000002,0.07
2024-06-24 21:08:12.824159,-0.2700000000000002,0.07
2024-06-24 21:08:13.042881,-0.2700000000000002,0.07
2024-06-24 21:08:13.277321,-0.2700000000000002,0.07
2024-06-24 21:08:13.480388,-0.2700000000000002,0.07
2024-06-24 21:08:13.699886,-0.2700000000000002,0.07
2024-06-24 21:08:13.871124,-0.2700000000000002,0.07
2024-06-24 21:08:14.105416,-0.2700000000000002,0.07
2024-06-24 21:08:14.277391,-0.2700000000000002,0.07
2024-06-24 21:08:14.551993,-0.2700000000000002,0.07
2024-06-24 21:08:14.777286,-0.2700000000000002,0.07
2024-06-24 21:08:14.980626,-0.2700000000000002,0.07
2024-06-24 21:08:15.199170,-0.2700000000000002,0.07
2024-06-24 21:08:15.402279,-0.2700000000000002,0.07
2024-06-24 21:08:15.621047,-0.2700000000000002,0.07
2024-06-24 21:08:15.808525,-0.2700000000000002,0.07
2024-06-24 21:08:16.027313,-0.2700000000000002,0.07
2024-06-24 21:08:16.277292,-0.2700000000000002,0.07
2024-06-24 21:08:16.464791,-0.2700000000000002,0.07
2024-06-24 21:08:16.621030,-0.2700000000000002,0.07
2024-06-24 21:08:16.886670,-0.2700000000000002,0.07
2024-06-24 21:08:17.089829,-0.2700000000000002,0.07
2024-06-24 21:08:17.261680,-0.2700000000000002,0.07
2024-06-24 21:08:17.480426,-0.2700000000000002,0.07
2024-06-24 21:08:17.699129,-0.2600000000000002,0.0700000000000002
2024-06-24 21:08:17.933538,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:18.167899,-0.2700000000000002,0.0800000000000003
